id,received_at,end_device_ids.device_id,end_device_ids.dev_eui,end_device_ids.join_eui,end_device_ids.dev_addr,end_device_ids.application_ids.application_id,correlation_ids.0,uplink_message.network_ids.net_id,uplink_message.network_ids.ns_id,uplink_message.network_ids.tenant_id,uplink_message.network_ids.cluster_id,uplink_message.network_ids.cluster_address,score
1146,0.12625316734603945,1,1,1,1,0,0.12625316734603945,0,0,0,0,0,0.79
1147,0.126363335903933,1,1,1,1,0,0.126363335903933,0,0,0,0,0,0.79
6268,0.6905365208769417,1,1,1,1,0,0.6905365208769417,0,0,0,0,0,0.79
6269,0.6906466894348353,1,1,1,1,0,0.6906466894348353,0,0,0,0,0,0.79
8841,0.9740002203371158,1,1,1,1,0,0.9740002203371158,0,0,0,0,0,0.78
8842,0.9741103888950093,1,1,1,1,0,0.9741103888950093,0,0,0,0,0,0.78
4976,0.54819874407844,1,1,1,1,0,0.54819874407844,0,0,0,0,0,0.77
4977,0.5483089126363336,1,1,1,1,0,0.5483089126363336,0,0,0,0,0,0.77
7617,0.8391539054753774,1,1,1,1,0,0.8391539054753774,0,0,0,0,0,0.77
2406,0.26506555029194667,1,1,1,1,0,0.26506555029194667,0,0,0,0,0,0.76
2407,0.26517571884984026,1,1,1,1,0,0.26517571884984026,0,0,0,0,0,0.76
3691,0.40663214718519336,1,1,1,1,0,0.40663214718519336,0,0,0,0,0,0.76
3692,0.40674231574308695,1,1,1,1,0,0.40674231574308695,0,0,0,0,0,0.76
7597,0.8369505343175058,1,1,1,1,0,0.8369505343175058,0,0,0,0,0,0.74
7598,0.8370607028753994,1,1,1,1,0,0.8370607028753994,0,0,0,0,0,0.74
17,0.001872865484190812,0.9333333333333333,0.9333333333333333,0,0.9333333333333333,0,0.001872865484190812,0,0,0,0,0,0.66
0,0,0,0,0,0,0,0,0,0,0,0,0,0.64
2,0.00022033711578715433,0.13333333333333333,0.13333333333333333,0.5,0.13333333333333333,0,0.00022033711578715433,0,0,0,0,0,0.63
7,0.0007711799052550402,0.4666666666666667,0.4666666666666667,0.5,0.4666666666666667,0,0.0007711799052550402,0,0,0,0,0,0.63
35,0.0038558995262752012,0.9333333333333333,0.9333333333333333,0,0.9333333333333333,0,0.0038558995262752012,0,0,0,0,0,0.63
53,0.0058389335683595904,0.9333333333333333,0.9333333333333333,0,0.9333333333333333,0,0.0058389335683595904,0,0,0,0,0,0.63
9072,0.9994491572105321,0,0,0,0,0,0.9994491572105321,0,0,0,0,0,0.63
1,0.00011016855789357717,0.06666666666666667,0.06666666666666667,0,0.06666666666666667,0,0.00011016855789357717,0,0,0,0,0,0.62
4,0.00044067423157430867,0.26666666666666666,0.26666666666666666,0,0.26666666666666666,0,0.00044067423157430867,0,0,0,0,0,0.62
10,0.0011016855789357718,0.6666666666666666,0.6666666666666666,0,0.6666666666666666,0,0.0011016855789357718,0,0,0,0,0,0.62
11,0.001211854136829349,0.7333333333333333,0.7333333333333333,0,0.7333333333333333,0,0.001211854136829349,0,0,0,0,0,0.62
15,0.0016525283684036575,0.8666666666666667,0.8666666666666667,0,0.8666666666666667,0,0.0016525283684036575,0,0,0,0,0,0.62
18,0.001983034042084389,0,0,0,0,0,0.001983034042084389,0,0,0,0,0,0.62
71,0.00782196761044398,0.9333333333333333,0.9333333333333333,0,0.9333333333333333,0,0.00782196761044398,0,0,0,0,0,0.62
9071,0.9993389886526385,0.2,0.2,0.5,0.2,0,0.9993389886526385,0,0,0,0,0,0.62
9073,0.9995593257684257,0.06666666666666667,0.06666666666666667,0,0.06666666666666667,0,0.9995593257684257,0,0,0,0,0,0.62
9075,0.9997796628842128,0.26666666666666666,0.26666666666666666,0,0.26666666666666666,0,0.9997796628842128,0,0,0,0,0,0.62
9077,1,0.4,0.4,0,0.4,0,1,0,0,0,0,0,0.62
9,0.0009915170210421946,0.6,0.6,0,0.6,0,0.0009915170210421946,0,0,0,0,0,0.61
12,0.001322022694722926,0.8,0.8,0,0.8,0,0.001322022694722926,0,0,0,0,0,0.61
19,0.0020932025999779664,0.06666666666666667,0.06666666666666667,0,0.06666666666666667,0,0.0020932025999779664,0,0,0,0,0,0.61
36,0.003966068084168778,0,0,0,0,0,0.003966068084168778,0,0,0,0,0,0.61
37,0.004076236642062355,0.06666666666666667,0.06666666666666667,0,0.06666666666666667,0,0.004076236642062355,0,0,0,0,0,0.61
54,0.005949102126253167,0,0,0,0,0,0.005949102126253167,0,0,0,0,0,0.61
55,0.006059270684146745,0.06666666666666667,0.06666666666666667,0,0.06666666666666667,0,0.006059270684146745,0,0,0,0,0,0.61
9064,0.9985678087473835,0.2,0.2,0.5,0.2,0,0.9985678087473835,0,0,0,0,0,0.61
9069,0.9991186515368514,0.9333333333333333,0.9333333333333333,0,0.9333333333333333,0,0.9991186515368514,0,0,0,0,0,0.61
9074,0.9996694943263192,0.4666666666666667,0.4666666666666667,0.5,0.4666666666666667,0,0.9996694943263192,0,0,0,0,0,0.61
9076,0.9998898314421064,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0.9998898314421064,0,0,0,0,0,0.61
3,0.0003305056736807315,0.2,0.2,0.5,0.2,0,0.0003305056736807315,0,0,0,0,0,0.60
8,0.0008813484631486173,0.5333333333333333,0.5333333333333333,0,0.5333333333333333,0,0.0008813484631486173,0,0,0,0,0,0.60
13,0.0014321912526165032,0.13333333333333333,0.13333333333333333,0.5,0.13333333333333333,0,0.0014321912526165032,0,0,0,0,0,0.60
16,0.0017626969262972347,0.4666666666666667,0.4666666666666667,0.5,0.4666666666666667,0,0.0017626969262972347,0,0,0,0,0,0.60
30,0.003305056736807315,0.8,0.8,0,0.8,0,0.003305056736807315,0,0,0,0,0,0.60
33,0.0036355624104880465,0.8666666666666667,0.8666666666666667,0,0.8666666666666667,0,0.0036355624104880465,0,0,0,0,0,0.60
72,0.007932136168337557,0,0,0,0,0,0.007932136168337557,0,0,0,0,0,0.60
73,0.008042304726231134,0.06666666666666667,0.06666666666666667,0,0.06666666666666667,0,0.008042304726231134,0,0,0,0,0,0.60
89,0.009805001652528369,0.9333333333333333,0.9333333333333333,0,0.9333333333333333,0,0.009805001652528369,0,0,0,0,0,0.60
107,0.011788035694612757,0.9333333333333333,0.9333333333333333,0,0.9333333333333333,0,0.011788035694612757,0,0,0,0,0,0.60
108,0.011898204252506334,0,0,0,0,0,0.011898204252506334,0,0,0,0,0,0.60
9055,0.9975762917263413,0,0,0,0,0,0.9975762917263413,0,0,0,0,0,0.60
9070,0.999228820094745,0.13333333333333333,0.13333333333333333,0.5,0.13333333333333333,0,0.999228820094745,0,0,0,0,0,0.60
6,0.000661011347361463,0.4,0.4,0,0.4,0,0.000661011347361463,0,0,0,0,0,0.59
22,0.002423708273658698,0.26666666666666666,0.26666666666666666,0,0.26666666666666666,0,0.002423708273658698,0,0,0,0,0,0.59
24,0.002644045389445852,0.4,0.4,0,0.4,0,0.002644045389445852,0,0,0,0,0,0.59
25,0.0027542139473394293,0.4666666666666667,0.4666666666666667,0.5,0.4666666666666667,0,0.0027542139473394293,0,0,0,0,0,0.59
40,0.004406742315743087,0.26666666666666666,0.26666666666666666,0,0.26666666666666666,0,0.004406742315743087,0,0,0,0,0,0.59
51,0.005618596452572436,0.8666666666666667,0.8666666666666667,0,0.8666666666666667,0,0.005618596452572436,0,0,0,0,0,0.59
52,0.005728765010466013,0.4666666666666667,0.4666666666666667,0.5,0.4666666666666667,0,0.005728765010466013,0,0,0,0,0,0.59
66,0.007271124820976093,0.8,0.8,0,0.8,0,0.007271124820976093,0,0,0,0,0,0.59
69,0.007601630494656825,0.8666666666666667,0.8666666666666667,0,0.8666666666666667,0,0.007601630494656825,0,0,0,0,0,0.59
90,0.009915170210421946,0,0,0,0,0,0.009915170210421946,0,0,0,0,0,0.59
91,0.010025338768315522,0.06666666666666667,0.06666666666666667,0,0.06666666666666667,0,0.010025338768315522,0,0,0,0,0,0.59
97,0.010686350115676986,0.4666666666666667,0.4666666666666667,0.5,0.4666666666666667,0,0.010686350115676986,0,0,0,0,0,0.59
105,0.011567698578825603,0.8666666666666667,0.8666666666666667,0,0.8666666666666667,0,0.011567698578825603,0,0,0,0,0,0.59
123,0.013550732620909993,0.8666666666666667,0.8666666666666667,0,0.8666666666666667,0,0.013550732620909993,0,0,0,0,0,0.59
125,0.013771069736697146,0.9333333333333333,0.9333333333333333,0,0.9333333333333333,0,0.013771069736697146,0,0,0,0,0,0.59
126,0.013881238294590724,0,0,0,0,0,0.013881238294590724,0,0,0,0,0,0.59
215,0.023686239947119093,0,0,0,0,0,0.023686239947119093,0,0,0,0,0,0.59
233,0.025669273989203482,0,0,0,0,0,0.025669273989203482,0,0,0,0,0,0.59
234,0.025779442547097058,0.06666666666666667,0.06666666666666667,0,0.06666666666666667,0,0.025779442547097058,0,0,0,0,0,0.59
9054,0.9974661231684477,0.2,0.2,0.5,0.2,0,0.9974661231684477,0,0,0,0,0,0.59
9056,0.9976864602842349,0.06666666666666667,0.06666666666666667,0,0.06666666666666667,0,0.9976864602842349,0,0,0,0,0,0.59
9058,0.9979067974000221,0.26666666666666666,0.26666666666666666,0,0.26666666666666666,0,0.9979067974000221,0,0,0,0,0,0.59
9061,0.9982373030737027,0.5333333333333333,0.5333333333333333,0,0.5333333333333333,0,0.9982373030737027,0,0,0,0,0,0.59
9066,0.9987881458631707,0.7333333333333333,0.7333333333333333,0,0.7333333333333333,0,0.9987881458631707,0,0,0,0,0,0.59
9067,0.9988983144210642,0.4666666666666667,0.4666666666666667,0.5,0.4666666666666667,0,0.9988983144210642,0,0,0,0,0,0.59
5,0.0005508427894678859,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0.0005508427894678859,0,0,0,0,0,0.58
14,0.0015423598105100804,0.2,0.2,0.5,0.2,0,0.0015423598105100804,0,0,0,0,0,0.58
20,0.0022033711578715435,0.13333333333333333,0.13333333333333333,0.5,0.13333333333333333,0,0.0022033711578715435,0,0,0,0,0,0.58
