id,received_at,uplink_message.settings.data_rate.lora.bandwidth,uplink_message.settings.data_rate.lora.spreading_factor,uplink_message.settings.data_rate.lora.coding_rate,uplink_message.version_ids.brand_id,uplink_message.version_ids.model_id,uplink_message.version_ids.hardware_version,uplink_message.version_ids.firmware_version,uplink_message.version_ids.band_id,uplink_message.consumed_airtime,score
7617,0.8391539054753774,0,1,0,1,1,1,1,1,0.8571428571428571,0.83
1384,0.1524732841247108,0,0,0,0.5,0.5,0.5,0.5,0,0,0.81
8841,0.9740002203371158,0,1,0,1,1,1,1,1,1,0.81
8842,0.9741103888950093,0,1,0,1,1,1,1,1,1,0.81
6268,0.6905365208769417,0,0.3333333333333333,0,1,1,1,1,1,0.7142857142857143,0.80
6269,0.6906466894348353,0,0.3333333333333333,0,1,1,1,1,1,0.7142857142857143,0.80
9067,0.9988983144210642,0,0,0,0.5,0.5,0.5,0.5,0,0,0.79
1146,0.12625316734603945,0,0.6666666666666666,0,1,1,1,1,1,0.5714285714285714,0.78
1147,0.126363335903933,0,0.6666666666666666,0,1,1,1,1,1,0.5714285714285714,0.78
5208,0.57375784950975,0,0,0,0.5,0.5,0.5,0.5,0,0,0.78
7597,0.8369505343175058,0,0.6666666666666666,0,1,1,1,1,1,0.5714285714285714,0.78
7598,0.8370607028753994,0,0.6666666666666666,0,1,1,1,1,1,0.5714285714285714,0.78
2406,0.26506555029194667,0,0.6666666666666666,0,1,1,1,1,1,0.5714285714285714,0.77
2407,0.26517571884984026,0,0.6666666666666666,0,1,1,1,1,1,0.5714285714285714,0.77
3691,0.40663214718519336,0,0.6666666666666666,0,1,1,1,1,1,0.5714285714285714,0.76
3692,0.40674231574308695,0,0.6666666666666666,0,1,1,1,1,1,0.5714285714285714,0.76
4976,0.54819874407844,0,0.6666666666666666,0,1,1,1,1,1,0.5714285714285714,0.76
4977,0.5483089126363336,0,0.6666666666666666,0,1,1,1,1,1,0.5714285714285714,0.76
11,0.001211854136829349,0,0,0,0,0,0,0,0,0.2857142857142857,0.74
89,0.009805001652528369,0,0,0,0,0,0,0,0,0.2857142857142857,0.73
241,0.0265506224523521,0,0,0,0,0,0,0,0,0.2857142857142857,0.73
8682,0.956483419632037,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.72
9009,0.9925085380632368,0,0,0,0,0,0,0,0,0.2857142857142857,0.72
92,0.0101355073262091,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.71
8194,0.9027211633799713,0,0,0,0,0,0,0,0,0.2857142857142857,0.71
43,0.004737247989423818,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.70
61,0.006720282031508208,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.70
746,0.08218574418860856,0,0,0,0,0,0,0,0,0.2857142857142857,0.70
8972,0.9884323014211744,0,0,0,0,0,0,0,0,0.2857142857142857,0.70
1569,0.17285446733502258,0,0,0,0,0,0,0,0,0.2857142857142857,0.69
2897,0.3191583122176931,0,0,0,0,0,0,0,0,0.2857142857142857,0.69
8524,0.9390767874848518,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.69
8888,0.9791781425581139,0,0,0,0,0,0,0,0,0.2857142857142857,0.69
211,0.023245565715544782,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.68
300,0.03305056736807315,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.68
2074,0.22848958907127906,0,0,0,0,0,0,0,0,0.2857142857142857,0.68
4216,0.4644706400793214,0,0,0,0,0,0,0,0,0.2857142857142857,0.68
8492,0.9355513936322574,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.68
8701,0.958576622232015,0,0,0,0,0,0,0,0,0.2857142857142857,0.68
222,0.024457419852374134,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.67
786,0.08659248650435165,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.67
2060,0.226947229260769,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.67
5018,0.5528258235099702,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.67
5545,0.6108846535198854,0,0,0,0,0,0,0,0,0.2857142857142857,0.67
5752,0.6336895450038559,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.67
6049,0.6664096066982483,0,0,0,0,0,0,0,0,0.2857142857142857,0.67
6867,0.7565274870551945,0,0,0,0,0,0,0,0,0.2857142857142857,0.67
7935,0.8741875068855348,0,0,0,0,0,0,0,0,0.2857142857142857,0.67
8721,0.9607799933898865,0,0,0,0,0,0,0,0,0.2857142857142857,0.67
8812,0.9708053321582021,0,0,0,0,0,0,0,0,0.2857142857142857,0.67
437,0.04814365979949323,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.66
873,0.09617715104109287,0,0,0,0,0,0,0,0,0.2857142857142857,0.66
972,0.107083838272557,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.66
1827,0.2012779552715655,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.66
2632,0.2899636443758951,0,0,0,0,0,0,0,0,0.2857142857142857,0.66
2709,0.2984466233337006,0,0,0,0,0,0,0,0,0.2857142857142857,0.66
3299,0.3634460724909111,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.66
3374,0.3717087143329294,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.66
3403,0.3749036025118431,0,0,0,0,0,0,0,0,0.2857142857142857,0.66
6498,0.7158752891924645,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.66
7372,0.812162608791451,0,0,0,0,0,0,0,0,0.2857142857142857,0.66
7838,0.8635011567698578,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.66
612,0.06742315743086923,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.65
617,0.06797400022033712,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.65
1024,0.11281260328302302,0,0,0,0,0,0,0,0,0.2857142857142857,0.65
1189,0.13099041533546327,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.65
1322,0.14564283353530902,0,0,0,0,0,0,0,0,0.2857142857142857,0.65
1338,0.14740553046160626,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.65
1398,0.15401564393522088,0,0,0,0,0,0,0,0,0.2857142857142857,0.65
1720,0.18948991957695274,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.65
2247,0.2475487495868679,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.65
2259,0.24887077228159082,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.65
2333,0.25702324556571554,0,0,0,0,0,0,0,0,0.2857142857142857,0.65
3021,0.3328192133964966,0,0,0,0.5,0.5,0.5,0.5,0,0.42857142857142855,0.65
