id,month,day,hour,min,n_p,i_uiip,p_uiip,score,month,day,hour,min
30051,11,30,5,45,0,0,0,0.77,11,15,10,54
14348,6,7,13,45,0,0,0,0.76,11,15,10,54
26946,10,28,22,30,0,0,0,0.75,11,15,10,54
27951,11,8,8,45,0,0,0,0.75,11,15,10,54
16021,6,25,0,0,0.643,476.15,6.66,0.73,11,15,10,54
16022,6,25,0,15,0.64,479.07,6.27,0.72,11,15,10,54
32708,12,27,22,0,0.755,-0.59,0,0.72,11,15,10,54
14341,6,7,12,0,1.66,346.53,8.34,0.71,11,15,10,54
16020,6,24,23,45,0.726,487.06,11.78,0.71,11,15,10,54
9135,4,14,6,30,2.97,111.31,6.81,0.69,11,15,10,54
29164,11,21,0,0,0.319,256.33,1.22,0.69,11,15,10,54
29165,11,21,0,15,0.319,255.4,3.78,0.68,11,15,10,54
1151,1,12,23,45,0.219,421.1,28.5,0.67,11,15,10,54
30240,12,2,5,0,3.019,202.53,13.16,0.67,11,15,10,54
6160,3,14,4,45,2.927,143.98,12.19,0.66,11,15,10,54
19420,7,30,9,45,2.105,677.57,34.56,0.66,11,15,10,54
29163,11,20,23,45,0.317,257.93,0.24,0.66,11,15,10,54
29151,11,20,20,45,1.155,256.61,0.85,0.65,11,15,10,54
29155,11,20,21,45,0.552,256.32,0.93,0.65,11,15,10,54
29159,11,20,22,45,0.307,255.38,0.07,0.65,11,15,10,54
29160,11,20,23,0,0.313,256.58,0.11,0.65,11,15,10,54
6835,3,21,5,30,3.073,191.25,12.46,0.64,11,15,10,54
21625,8,22,9,0,2.464,750.88,35,0.64,11,15,10,54
29156,11,20,22,0,0.403,256.01,0.93,0.64,11,15,10,54
29157,11,20,22,15,0.315,256.25,0.2,0.64,11,15,10,54
