id,received_at,end_device_ids.device_id,end_device_ids.dev_eui,end_device_ids.join_eui,end_device_ids.dev_addr,end_device_ids.application_ids.application_id,correlation_ids.0,uplink_message.network_ids.net_id,uplink_message.network_ids.ns_id,uplink_message.network_ids.tenant_id,uplink_message.network_ids.cluster_id,uplink_message.network_ids.cluster_address,score
1146,0.12625316734603945,1,1,1,1,0,0.12625316734603945,0,0,0,0,0,0.79
1147,0.126363335903933,1,1,1,1,0,0.126363335903933,0,0,0,0,0,0.79
6268,0.6905365208769417,1,1,1,1,0,0.6905365208769417,0,0,0,0,0,0.79
6269,0.6906466894348353,1,1,1,1,0,0.6906466894348353,0,0,0,0,0,0.79
8841,0.9740002203371158,1,1,1,1,0,0.9740002203371158,0,0,0,0,0,0.78
8842,0.9741103888950093,1,1,1,1,0,0.9741103888950093,0,0,0,0,0,0.78
4976,0.54819874407844,1,1,1,1,0,0.54819874407844,0,0,0,0,0,0.77
4977,0.5483089126363336,1,1,1,1,0,0.5483089126363336,0,0,0,0,0,0.77
7617,0.8391539054753774,1,1,1,1,0,0.8391539054753774,0,0,0,0,0,0.77
2406,0.26506555029194667,1,1,1,1,0,0.26506555029194667,0,0,0,0,0,0.76
2407,0.26517571884984026,1,1,1,1,0,0.26517571884984026,0,0,0,0,0,0.76
3691,0.40663214718519336,1,1,1,1,0,0.40663214718519336,0,0,0,0,0,0.76
3692,0.40674231574308695,1,1,1,1,0,0.40674231574308695,0,0,0,0,0,0.76
7597,0.8369505343175058,1,1,1,1,0,0.8369505343175058,0,0,0,0,0,0.74
7598,0.8370607028753994,1,1,1,1,0,0.8370607028753994,0,0,0,0,0,0.74
